No.URLLC,No.mMTC,URLLC_wait,mMTC_wait,URLLC_loss,mMTC_loss
5,500,0.25335174468417493,0.2503473343323392,0.0,0.0
6,500,0.25139263294031217,0.25290340930379734,0.0,0.0
7,500,0.25024949673987884,0.2511790946261874,0.0,0.0
8,500,0.2542763539280741,0.24962409932569246,0.0,0.0
9,500,0.2416543896689063,0.2513374783241015,0.0,0.0
10,500,0.25504096359400646,0.25122910310848995,0.0,0.0
11,500,0.25834266305777653,0.2512254558270996,0.0,0.0
12,500,0.2535243469285637,0.25308503294112233,0.0,0.0
13,500,0.24759528431611458,0.24825640706257507,0.0,0.0
14,500,0.24602450572081289,0.25414283694837975,0.0,0.0
15,500,0.25588502303932203,0.25022614639769397,0.0,0.0
16,500,0.25062610008832653,0.2533100161953254,0.0,0.0
17,500,0.24829558989141592,0.252499718650251,0.0,0.0
18,500,0.24587829555601728,0.2482824252538482,0.0,0.0
19,500,0.24837156273299815,0.2537729373065885,0.0,0.0
20,500,0.24981919437508768,0.2519506553724418,0.0,0.0
5,500,0.25255529863522724,0.252380061813634,0.0,0.0
5,1000,0.2483284571396906,0.33569057099028937,0.0,0.0
5,1500,0.2641651951878754,19.760683902588376,0.0,0.19490624892880404
5,2000,0.2487150943073795,38.30304470296473,0.0,0.38058324104835733
5,2500,0.2548330820045907,50.42018361358556,0.0,0.5017603393425238
5,3000,0.2568295013935267,58.480844451247094,0.0,0.5823763643474242
5,3500,0.24973259441159334,64.22890634850168,0.0,0.6398466845534687
5,4000,0.24252456649267795,68.50715771399732,0.0,0.6826263172115644
5,4500,0.25435800053124075,72.12418669626248,0.0,0.7187900262153006
5,5000,0.2545456653307805,74.71456954563445,0.0,0.7446880196502516
6,500,0.25214992433981354,0.2534714491611382,0.0,0.0
6,1000,0.25544785891895755,0.3209281496465907,0.0,0.0
6,1500,0.25811356677405656,20.960625437792096,0.0,0.20693163320672817
6,2000,0.2564042000240244,39.109906676884464,0.0,0.38864788585166987
6,2500,0.25340677275119927,50.573783256888326,0.0,0.5033018367130269
6,3000,0.24249397273809073,58.61291345340658,0.0,0.5836863275549069
6,3500,0.2531629847775002,64.46528973426841,0.0,0.6422037994432378
6,4000,0.2562131684231239,68.73773516453765,0.0,0.6849392559868545
6,4500,0.25212420942134883,72.32325513686669,0.0,0.7207811586071885
6,5000,0.26067381656128286,74.86817872302814,0.0,0.7462273669136552
7,500,0.24476055946312225,0.251729608278616,0.0,0.0
