No.URLLC,No.mMTC,URLLC_wait,mMTC_wait,URLLC_loss,mMTC_loss
5,500,0.25384015062142984,0.24963440653319754,0.0,0.0
5,1000,0.25318638141474625,0.33009344566032245,0.0,0.0
5,1500,0.25284251763100596,19.78538899418723,0.0,0.19516792323509252
5,2000,0.2593867519492958,38.91894876496432,0.0,0.3867178322499804
5,2500,0.24674345849716178,50.512401464972946,0.0,0.502688741161028
5,3000,0.2521094376721413,58.36397470612471,0.0,0.5812042006168987
5,3500,0.24923850282941631,64.05098812927467,0.0,0.6380710268854479
5,4000,0.2422047924526036,68.70958978110781,0.0,0.684655658477648
5,4500,0.2487403083403705,72.10685604262989,0.0,0.7186219783905513
5,5000,0.25722055108845626,74.93441814841151,0.0,0.7468885033566449
6,500,0.24831386950818632,0.2525076735913985,0.0,0.0
6,1000,0.25420156424287593,0.3359084858338221,0.0,0.0
6,1500,0.26490822643300294,20.146732763779735,0.0,0.1987598917474564
6,2000,0.2489903490161143,38.86447725870637,0.0,0.38619187572163327
6,2500,0.24395551031987112,50.817702354454326,0.0,0.5057364406600604
6,3000,0.2545317248089146,58.96248825684882,0.0,0.5871920660690336
6,3500,0.23916939399859236,64.57690529180387,0.0,0.6433309443571875
6,4000,0.24084446891570974,68.75757834136468,0.0,0.6851251127293285
6,4500,0.24054219631105908,72.00518374804308,0.0,0.7176020377367601
6,5000,0.24397020805955652,74.94296364937827,0.0,0.7469820872274143
7,500,0.25238510994395985,0.25187455713358653,0.0,0.0
7,1000,0.24941118039733728,0.33373692057339743,0.0,0.0
7,1500,0.25636895347673816,20.874993464877626,0.0,0.2060407718006409
7,2000,0.2509300517566647,39.53756028708496,0.0,0.3929055462885738
7,2500,0.24747100686844634,50.81427186224876,0.0,0.5056978545508563
7,3000,0.24190018366059096,58.77748672405339,0.0,0.585337629737765
7,3500,0.251408056859566,64.60674981519152,0.0,0.6436287410490238
7,4000,0.25142430323176596,68.9412428812537,0.0,0.6869691431028921
7,4500,0.2455349335117083,72.31618824464695,0.0,0.7207127269239071
7,5000,0.2542711856506428,74.97746513502646,0.0,0.7473310766827236
8,500,0.24455466643725807,0.25164374065310013,0.0,0.0
8,1000,0.2594257272086514,0.323585144288075,0.0,0.0
8,1500,0.25566720427054945,21.072582454820353,0.0,0.20807866971693925
8,2000,0.24971806028120389,39.770363166847105,0.0,0.3952487743819756
8,2500,0.25596264298325777,51.52287551583021,0.0,0.5127930426014621
8,3000,0.24858295604163044,59.065785344768145,0.0,0.5882112738570795
8,3500,0.25114627519647664,65.0114804836295,0.0,0.6476763441350288
8,4000,0.2508140290696534,69.13672565504467,0.0,0.6889267415971458
8,4500,0.24828157414774013,72.41604430951001,0.0,0.721705640274995
8,5000,0.24848437118360334,75.06963036948427,0.0,0.7482411951187736
9,500,0.2510349762048281,0.2500005176544245,0.0,0.0
9,1000,0.2464090700608157,0.34420752084054534,0.0,0.0
9,1500,0.24927172544614337,21.814519895693415,0.0,0.21548970298375586
9,2000,0.24913521577729666,39.62794370786913,0.0,0.3938161106590724
9,2500,0.25433027711149153,51.24389946092394,0.0,0.5100040313169676
9,3000,0.2514225988311242,59.365427335803524,0.0,0.5912212389380531
9,3500,0.25150189847253024,64.9681472805922,0.0,0.647239451251184
9,4000,0.24825034956657932,68.90877437317027,0.0,0.6866425110939217
9,4500,0.2387666031264067,72.5091202204713,0.0,0.7226478995027983
9,5000,0.24499599631486152,74.99798448067175,0.0,0.7475294066203158
10,500,0.25307389429161403,0.2469152768689812,0.0,0.0
10,1000,0.25609145209093276,0.3478809689846322,0.0,0.0
10,1500,0.2524736647642361,21.47556064985751,0.0,0.21210252192982457
10,2000,0.2458863688852248,39.75191146591254,0.0,0.39505393317548015
10,2500,0.24548289148081376,51.576598685001784,0.0,0.5133224693657277
10,3000,0.24547464207619707,59.40050305645864,0.0,0.5915558002806444
10,3500,0.24148553177144466,65.02500089168059,0.0,0.6478057746802481
10,4000,0.2603368404781953,69.28308701144925,0.0,0.6903787103377687
10,4500,0.24896788740362172,72.54414011873757,0.0,0.7229938922285535
10,5000,0.2523539002139868,75.31381268288642,0.0,0.7506750089459017
11,500,0.25026803748315657,0.25017281449533285,0.0,0.0
11,1000,0.2464886001966243,0.3575682097977975,0.0,0.0
11,1500,0.25247089021464,21.825598642371677,0.0,0.21559758771929824
11,2000,0.2561648364229799,40.38595456471107,0.0,0.40140660949592133
11,2500,0.2535986030480392,51.857849593833265,0.0,0.516138578283202
11,3000,0.25158924759640006,59.35663528606724,0.0,0.5911242075185285
11,3500,0.2509455665411412,65.04872476986,0.0,0.6480453797789427
11,4000,0.2477083735481155,69.38793092692451,0.0,0.6914285714285714
11,4500,0.25662248650567526,72.99004400543163,0.0,0.7274621144482936
11,5000,0.24915941387050242,75.46069237537968,0.0,0.7521516493271698
12,500,0.24767974793346612,0.24890299772798755,0.0,0.0
12,1000,0.2516774266443331,0.3636878887652034,0.0,0.0
12,1500,0.25307472634592754,22.21628656041429,0.0,0.2195288961928239
12,2000,0.24850993806536972,40.92708084323809,0.0,0.4068175904241478
12,2500,0.2512855548869614,51.77102988222875,0.0,0.5152784570565845
12,3000,0.24864210502288367,59.86655977879559,0.0,0.5962304926221813
12,3500,0.24859831126290602,65.32453157984082,0.0,0.6508004595940253
12,4000,0.2535598785257301,69.60117145740153,0.0,0.6935629124830303
12,4500,0.24209178723272937,72.82982622804126,0.0,0.7258481557648134
12,5000,0.24834502292326072,75.54700530164197,0.0,0.7530149855345708
13,500,0.24535422237171142,0.2512540595931131,0.0,0.0
13,1000,0.2522773574034605,0.3665827434365331,0.0,0.0
13,1500,0.2501282444149203,23.063499794703567,0.0,0.2279902027486733
13,2000,0.2558505051257586,41.059562703602,0.0,0.4081472981431254
13,2500,0.25004763890321086,52.32355582826217,0.0,0.5207963854404188
13,3000,0.25489479632871925,59.84567585344713,0.0,0.5960237790118184
13,3500,0.2510238469884251,65.54093366770837,0.0,0.6529697822363592
13,4000,0.24440684720788777,69.88535768112575,0.0,0.6964018191546282
13,4500,0.24658313875687607,72.91685427632036,0.0,0.7267133102925061
13,5000,0.24972137502200037,75.65353736050581,0.0,0.7540766905399109
14,500,0.25334015950047717,0.25065814920326274,0.0,0.0
14,1000,0.24603435519331757,0.38118810166033834,0.0,0.0
14,1500,0.24790225104610228,23.711799020972602,0.0,0.234493038382059
14,2000,0.25635428679275807,40.912577595693236,0.0,0.40667997059132444
14,2500,0.2508549796962195,52.524627112930375,0.0,0.522786788308836
14,3000,0.24614442180504129,60.07738587997843,0.0,0.5983361774744027
14,3500,0.25427853667525774,65.75537240835057,0.0,0.6551060906731797
14,4000,0.25358200593916685,69.69165557563292,0.0,0.6944677284157585
14,4500,0.25086695624300276,73.03097158902969,0.0,0.7278606785417495
14,5000,0.25090272211568193,75.66065104037722,0.0,0.7541534745569083
15,500,0.2486240324970206,0.24748081955587947,0.0,0.0
15,1000,0.2576875710750751,0.411635226796919,0.0,0.0
15,1500,0.24896525764472435,22.88446680746983,0.0,0.22620808254514188
15,2000,0.24998923388655345,41.22363140779269,0.0,0.40977542239479486
15,2500,0.253028586933933,52.81596199778435,0.0,0.5257110328687988
15,3000,0.25013401536148344,60.07617189144929,0.0,0.598325089727336
15,3500,0.2542349192840572,65.69078897865145,0.0,0.6544653006052041
15,4000,0.24867638800244318,70.01035070392847,0.0,0.697657226575626
15,4500,0.24314032048556525,73.2725987645719,0.0,0.7302647355042924
15,5000,0.2466894625173643,75.77839332456566,0.0,0.7553334928125611
16,500,0.24461418406119825,0.25165122262343287,0.0,0.0
16,1000,0.2520740468272551,0.4225651900789035,0.0,0.0
16,1500,0.25077338934807625,23.811108232406387,0.0,0.23546878733062562
16,2000,0.2491567911169531,41.68686879593183,0.0,0.41440451906480463
16,2500,0.25388946525374334,52.815659580580046,0.0,0.5257072674911062
16,3000,0.2563100691455219,60.517528317514746,0.0,0.6027314650585314
16,3500,0.25137783340159664,65.8657072048426,0.0,0.6562116187668877
16,4000,0.24937744955153532,70.03484755114519,0.0,0.6978999473975264
16,4500,0.25042586044144505,73.32251246146888,0.0,0.7307683061685658
16,5000,0.24706228280317905,76.02161928255441,0.0,0.7577625644852536
17,500,0.24720571041127332,0.25151658106963604,0.0,0.0
17,1000,0.24886108543161084,0.4219160357161498,0.0,0.0
17,1500,0.2491809804243207,24.15068512031514,0.0,0.2388951483492096
17,2000,0.2554421076932849,41.776971758588,0.0,0.41532733803518523
17,2500,0.2533265422385324,53.300657021167616,0.0,0.5305783036146607
17,3000,0.25103929263560143,60.583671114628345,0.0,0.6033973674848808
17,3500,0.25419207824808177,66.3924048821687,0.0,0.6614786583051157
