No.URLLC,No.mMTC,URLLC_wait,mMTC_wait,URLLC_loss,mMTC_loss
5,500,0.23918997736632844,0.25188185165618737,0.0,0.0
5,1000,0.24730786936472443,0.3769145946476385,0.0,0.0
5,1500,0.2509463587781036,22.76390589433623,0.0,0.224993111049876
5,2000,0.24149841888942875,41.698596940937925,0.0,0.4145351409018761
5,2500,0.2517515049656463,52.691348867445534,0.0,0.5244768547875713
5,3000,0.24731257534658604,60.44875557214269,0.0,0.6020446063778985
5,3500,0.2558792059546421,65.79705572078561,0.0,0.6555261264295665
5,4000,0.2467052732067636,69.87570981178041,0.0,0.6963142972863507
5,4500,0.25745955181837504,73.2270372489381,0.0,0.7298144478472347
5,5000,0.24916892655331271,75.88676237402039,0.0,0.7564152536867407
6,500,0.25450885464202583,0.25465694309766823,0.0,0.0
6,1000,0.2505570699824557,0.41629472926329447,0.0,0.0
6,1500,0.24258755780687144,23.43493062083087,0.0,0.2316743960683879
6,2000,0.24356978236073606,42.47916443153765,0.0,0.42234424608338106
6,2500,0.23987517473905476,53.395483417909915,0.0,0.5315012980434369
6,3000,0.24738165799584907,60.91708280992711,0.0,0.6067290315722335
6,3500,0.2549001033217749,66.11371611544901,0.0,0.6586967218156098
6,4000,0.2590478341413119,70.29261273571399,0.0,0.7004736394672568
6,4500,0.25723076619329865,73.52701845230837,0.0,0.7328237843042851
6,5000,0.2526666447482095,76.01772391094396,0.0,0.7577186261991291
7,500,0.25710439456747824,0.2573471327728224,0.0,0.0
7,1000,0.25540546496177524,0.45743444867033034,0.0,0.0
7,1500,0.24073145775366236,25.77806978671514,0.0,0.2551787475764482
7,2000,0.2440611333471735,42.81005092576806,0.0,0.4256524590163934
7,2500,0.24622495859532237,53.8478150378447,0.0,0.5360425225530473
7,3000,0.24776472529143434,61.3625424223752,0.0,0.6111801462756515
7,3500,0.2543396727531451,66.78714741955783,0.0,0.6654239308142467
7,4000,0.24723947667973223,70.56330007679261,0.0,0.7031948622063247
